Title,Author,ISBN,Category
Twelfth Night,Sidney Biddy,629618771-8,Business
Landet som icke är,Buffy Ghiroldi,065799149-X,Science Fiction
Soldier,Cristina Rollin,358716493-2,Children
"Celebration, The (Festen)",Emiline Gravatt,280130313-5,Thriller
Iron Man 3,Aguie Rive,695973153-4,Technology
Home for the Holidays,Brantley Sotheby,999336529-7,Education
One Way Passage,Minnaminnie Durman,087494249-7,Romance
American Dream,Marv Balcers,535246630-2,Children
Decoys,Ddene Spedroni,485685790-8,Business
Cradle Will Rock,Sterling Bennet,048340864-6,Mystery
7 Boxes (7 cajas),Homerus Smedmore,738866295-2,Romance
Fear,Carmelia Gonnet,338162459-8,Thriller
Pioneer (Pionér),Reynolds Warsap,894372237-0,Romance
Nil By Mouth,Winnie Parades,778780142-5,Biography
True Colors,Anya Lexa,248909563-3,Business
"Cable Guy, The",Westbrook Houlston,169463436-1,Programming
Jimmy and Judy,Laryssa Stopforth,664110450-8,Self-Help
Kinetta,Garold McGinlay,593067331-4,Biography
Gypsy,Daren Chipping,534370380-1,Fiction
"We and the I, The",Zaria Sayton,288097041-5,Science
"Only Son, The (Hitori musuko)",Jannelle Giddy,095278522-6,Self-Help
Before Your Eyes (Min Dit: The Children of Diyarbakir),Gianina Garie,280644864-6,Self-Help
Prinsessa (Starring Maja),Kelcy Alcido,459988361-1,Fantasy
Saboteur,Moises Ginie,942664361-3,Biography
"Inevitable Defeat of Mister & Pete, The",Glennis Piotrkowski,133529438-4,Education
French Roast,Bobbette Meegan,323207991-1,Science
The Arrival of Joachim Stiller,Kore Follan,218555634-7,Technology
First Monday in October,Melisa Urwin,877877553-1,Business
Kandahar (Safar e Ghandehar),Winny Frantzen,818400136-3,Business
Terror is a Man,Florie Essame,389900210-5,Romance
To.get.her,Peterus Thaxter,714636740-1,History
Mixed Blood,Brandy Catlin,586613335-0,Fiction
The Boys,Andrei Filde,855253946-2,Biography
Paris Belongs to Us (Paris nous appartient),Darya Sundin,678306516-2,Biography
Princess of Mars,Aloysia Farrah,908944087-9,Children
All the Brothers Were Valiant,Niki Portingale,561409976-X,Biography
"Recruit, The",Hilde Follen,403234393-4,Technology
"Hard Man, The",Edan Spurrett,461634458-2,Fiction
Castles in the Sky,Johnath Floodgate,055347775-7,History
"Incredible Petrified World, The",Pamella Grishinov,499562481-3,History
Upstairs and Downstairs,Katusha Oldfield-Cherry,450060164-3,Biography
Singapore Sling (Singapore sling: O anthropos pou agapise ena ptoma),Morten Beels,515866754-3,Business
"Other Son, The (Fils de l'autre, Le)",Aretha Pugsley,049248633-6,Children
Repentance,Wrennie Keuning,597366441-4,Fantasy
Win/win,Adela Krabbe,334543170-X,Biography
"Comfort of Strangers, The",Baldwin Bemrose,360009274-X,Science Fiction
Puppet Master: Axis of Evil (Puppet Master 10),Eugene Carlsen,338694405-1,Self-Help
Heart of Dragon (Long de xin),Mercie Petticrew,801343602-0,Technology
Polite People (Kurteist fólk),Ruthy Lamort,171559954-3,Fantasy
Charly,Marie Cortin,191824208-9,Biography
Detachment,Norbert Giorgeschi,687323805-8,Science Fiction
Virtuosity,Ariadne Ianni,134125421-6,History
"Yes, But... (Oui, mais...)",Amalle Mechell,202122784-7,Mystery
"Act of Seeing with One's Own Eyes, The ",Hy Raynton,387146845-2,Technology
In the Electric Mist,Drucie Androletti,419386154-6,Fantasy
Lucky,Chase Josselsohn,560053459-0,Self-Help
"Lady from Shanghai, The",Genna Fulop,802840537-1,Fantasy
Brown's Requiem,Sheff Baldrey,097848100-3,Technology
Live!,Bobby Radbourne,927580864-3,Mystery
Cigarettes and Coffee (Un cartus de kent si un pachet de cafea),Tracey Englefield,819639482-9,Romance
Force 10 from Navarone,Talbert Kuhnhardt,949643255-7,Education
I Hate Christian Laettner,Rowena Gostyke,359102082-6,Science
"Pink Panther 2, The",Scarlet Jelks,898874732-1,Self-Help
Grown Ups,Haleigh Olivier,806973452-3,Science Fiction
Lentsu,Valentine McElhargy,736773260-9,Thriller
"Edison, the Man",Carmella Ingray,878895207-X,Business
"White Sheik, The (Sceicco bianco, Lo)",Ursula Guillot,071381923-5,Romance
Delusion,Fanya Parade,828081620-8,Biography
Make Your Move,Sammy Kollaschek,838053020-9,Fiction
